"","dfcolnames"
"1","T016B1"
"2","T016BCG"
"3","T016PPD"
"4","T027B1"
"5","T027BCG"
"6","T027PPD"
"7","T080B1"
"8","T080BCG"
"9","T080PPD"
"10","T095B1"
"11","T095BCG"
"12","T095PPD"
"13","T101B1"
"14","T101BCG"
"15","T101PPD"
"16","T104B1"
"17","T104BCG"
"18","T104PPD"
"19","T011B1"
"20","T011BCG"
"21","T011PPD"
"22","T013B1"
"23","T013BCG"
"24","T013PPD"
"25","T014B1"
"26","T014BCG"
"27","T014PPD"
"28","T032B1"
"29","T032BCG"
"30","T032PPD"
"31","T033B1"
"32","T033BCG"
"33","T033PPD"
"34","T047B1"
"35","T047BCG"
"36","T047PPD"
"37","T051B1"
"38","T051BCG"
"39","T051PPD"
"40","T107B1"
"41","T107BCG"
"42","T107PPD"
"43","T108B1"
"44","T108BCG"
"45","T108PPD"
"46","T166B1"
"47","T166BCG"
"48","T166PPD"
"49","T173B1"
"50","T173BCG"
"51","T173PPD"
"52","T176B1"
"53","T176BCG"
"54","T176PPD"
"55","T035B1"
"56","T035BCG"
"57","T090B1"
"58","T090BCG"
"59","T090PPD"
"60","T142B1"
"61","T142BCG"
"62","T142PPD"
"63","T163B1"
"64","T163BCG"
"65","T163PPD"
"66","T164B1"
"67","T164BCG"
"68","T164PPD"
"69","T165B1"
"70","T165BCG"
"71","T165PPD"
